date,published_time,post_created_time,produced_by,permalink_url,title,message,primary_category_l0,primary_category,(Undefined)Suggestion for Change in Primary,Primary Category  Suggestion Explaination,Primary_Category_1,Secondary Category,Secondary Category Suggestion 3 or less and comma sep,Secondary Category Suggestion Explaination,Secondary_Category_1,Secondary_Category_1_revisited,video_type,video_type suggestion,Video_Type_1,voice_first_3_seconds,visual_first_3_seconds,visual_first_3_seconds_Other,background_music_type_first_3_seconds,Background Music In Beginning ,Video Format ,Video Length,thumbnail,thumbnail_Sentiment,thumbnail_famous_personality_name,thumbnail_famous_personality_profession,Tags
2019-05-15 , 06:30:15,2019-05-15 06:30:1557901800,DB,https://www.facebook.com/1954072204870360/posts/2343108625966714/,'Kamali' Selected For Oscars,9 साल की Kamali Moorthy पर बनी short film हुई Oscar awards के लिए shortlist,Filmy,Filmy*,,,Entertainment,People,,,"Award/Achievement, X-Factor, Skate Boarding","Award/Achievement, X-Factor, Other Sports",Inspiring,,Inspiring,text only (to),commoner (np),,relevant,Yes,square,,Commoner,"Happy, Action",,,no tags
2019-11-14 , 15:05:15,2019-11-14 15:05:1573743900,SK,https://www.facebook.com/1954072204870360/posts/2493154734295435/,What Is Sabarimala Temple Issue?,क्यों है सबरीमाला मंदिर में महिलाओं के प्रवेश पर विवाद?,Dharohar,Dharohar*,,,Judiciary & Crime,Culture,Court ruling / Decisions,,"Court Ruling, Religious Place","Judicial, Religion",Controversial,,Controversial, common voice (optv),commoner (np),,no music,No,square,,Temple,Neutral ,,,"Sabarimala Temple, Sabarimala, Supreme Court, Women Right"
2020-01-09 , 08:47:15,2020-01-09 08:47:1578559673,SP,https://www.facebook.com/1954072204870360/posts/2549805008630407/,India's External Affairs Minister S Jaishankar's Birthday,"विदेश में देश का नाम बढ़ाने वाले एस जयशंकर का आज है जन्मदिन

Ministry of External Affairs, Government of India",Politics,Politics*,,,Politics,People,,,"Anniversary, Famous Personality",Famous Personality,Day-specific,,"Day-specific, Profile", voice of famous personality (fpv),famous personality (fp),,no music,No,square,,Famous Personality,Happy ,s jaishankar,Politics,"S Jaishankar, Jaishankar on JNU, Jaishankar against Pakistan, Foreign Minister, External Affairs Minister, Diplomat"
2020-01-09 , 12:30:15,2020-01-09 12:30:1578573000,SA,https://www.facebook.com/1954072204870360/posts/2549770155300559/,Viral - Owner Makes His Dog Wear Helmet In Chennai,ट्रैफिक पुलिस का खौफ इतना की कुत्ते को पहना दिया हेलमेट!,Animals ,Animals,,Any story funny/weird/interesting,Weird News,Viral,,,"Animals, Person Specific","Animals, Person Specific",Funny,,"Funny, Viral",text only (to),other,Animal and Human,relevant,Yes,square,,Animal,Neutral ,,,"Dogs, Tamil Nadu, Funny Animals, Boxer Dogs, Chennai, India, Dog wears helmet, cute dog"
2020-01-28 , 07:20:15,2020-01-28 07:20:1580196052,DB,https://www.facebook.com/1954072204870360/posts/2567158553561719/,This Kollywood Actor Does Social Service By Daily Distributing Food Amongst The Poor,पर्दे का खलनायक जो रोज मिटाता है 100 लोगों की भूख,Food,Social Work,,,Lifestyle,Social Work,,,"Social Work, Famous Personality","Social Work, Famous Personality",Inspiring,,Inspiring,text only (to),famous personality (fp),,neutral,Yes,square,,Famous Personality,neutral ,rajsimmon,film,not editable
2020-01-08 , 11:30:15,2020-01-08 11:30:1578483000,SP,https://www.facebook.com/1954072204870360/posts/2548838832060358/,The Process Of Executing Death Sentence,कैसे दी जाएगी निर्भया के दोषियों को फांसी?,Police - Army,Crime,,,Judiciary & Crime,Crime,,,Court Ruling,"Judicial, Facts",Explainers,,"Informative, Explainers",text only (to),other,hang,neutral,Yes,square,,Other,Neutral ,,,"Pawan Jallad, Hangman Pawan Jallad, Nirbhaya case verdict, nirbhaya, nirbhaya rape case, Nirbhaya victims death penalty, death sentence"
2020-01-11 , 03:30:15,2020-01-11 03:30:1578713400,SP,https://www.facebook.com/1954072204870360/posts/2549703905307184/,Rahul Dravid - The Wall Turns 47,"टीम इंडिया की वॉल का आज है बर्थडे

Rahul Dravid",Sports & Games,Sports & Games,,,Sports & Games,People,,,"Anniversary,Cricket, Famous Personality","Cricket, Famous Personality",Day-specific,,"Day-specific, Profile", voice of famous personality (fpv),famous personality (fp),,relevant,Yes,square,,Famous Personality,Happy ,Rahul dravid,Sport,"Test Cricket & First-Class Cricket, Cricket, Rahul Dravid, Rahul Dravid Birth Anniversary, Rahul Dravid Birthday, Happy birthday Rahul Dravid, Rahul Dravid the wall, Indian Cricket"
2020-01-08 , 09:30:15,2020-01-08 09:30:1578475807,HG,https://www.facebook.com/1954072204870360/posts/2548809705396604/,Deepika Padukone Attends JNU Students Protest Against Campus Attack,"JNU जाने पर क्यों troll हुईं Deepika Padukone?

(via फिल्मी NEWJ)",Filmy,Politics*,,,Politics,Politics*,,,"Bollywood, Famous Personality","Bollywood, Famous Personality",Controversial,,Controversial, common voice (optv),famous personality (fp),,low,Yes,square,,Famous Personality,Neutral ,Deepika Padukone,film,"Tractors, Deepika Padukone, JNU Students, JNU Students Protest, Bollywood Actress"
2020-01-08 , 15:00:15,2020-01-08 15:00:1578495604,SP,https://www.facebook.com/1954072204870360/posts/2548956662048575/,9-Judge Bench To Hear Sabrimala Matter,महिलाओं के मामले में होगी कौन सी सुप्रीम सुनवाई?,Culture,Daily NEWJ*,,,Judiciary & Crime,Culture,Court ruling / Decisions,,"Court Ruling, Crime, Religious Place","Judicial, Religion, News",Informative,,"Informative, Controversial",text only (to),commoner (np),,neutral,Yes,square,,Heritage,Neutral ,,,"Muslim, Supreme Court, Justice Bobde, Sabarimala case, right to pray, parsis"
2020-01-07 , 13:00:15,2020-01-07 13:00:1578402004,SA,https://www.facebook.com/1954072204870360/posts/2547970535480521/,Nirbhaya Case - All 4 Convicts To Be Hanged On 22nd January,"22 जनवरी को फांसी के फंदे पर लटकेंगे निर्भया के दोषी

#NirbhayaVerdict",Crime,Daily NEWJ*,,"News update about a crime, So daily newj and crime",Judiciary & Crime,Crime,Court ruling / Decisions,Any decision like ayodhya verdict etc,"Court Ruling, Crime","Judicial, Crime",Informative,,Informative, common voice (optv),commoner (np),,no music,No,square,,Commoner,Happy ,,,"nirbhaya case, nirbhaya rape case, nirbhaya verdict, nirbhaya"
